record_id,fs,n_samples,n_leads,channels,annotators,n_qrs_annotations,npy
sel16795,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel16795.npy
sel17152,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel17152.npy
sel17453,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel17453.npy
sel213,250,225000,2,MLII;V1,q1c;q2c,141,data\evaluation\processed\qtdb\signals\sel213.npy
sel221,250,225000,2,MLII;V1,q1c;q2c,60,data\evaluation\processed\qtdb\signals\sel221.npy
sel223,250,225000,2,MLII;V1,q1c;q2c,62,data\evaluation\processed\qtdb\signals\sel223.npy
sel230,250,225000,2,MLII;V1,q1c;q2c,100,data\evaluation\processed\qtdb\signals\sel230.npy
sel231,250,225000,2,MLII;V1,q1c,50,data\evaluation\processed\qtdb\signals\sel231.npy
sel232,250,225000,2,MLII;V1,q1c,0,data\evaluation\processed\qtdb\signals\sel232.npy
sel233,250,225000,2,MLII;V1,q1c,30,data\evaluation\processed\qtdb\signals\sel233.npy
sel30,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel30.npy
sel301,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel301.npy
sel302,250,225000,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel302.npy
sel306,250,225000,2,ECG1;ECG2,q1c,36,data\evaluation\processed\qtdb\signals\sel306.npy
sel307,250,225000,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel307.npy
sel308,250,225000,2,ECG1;ECG2,q1c,50,data\evaluation\processed\qtdb\signals\sel308.npy
sel31,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel31.npy
sel310,250,225000,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel310.npy
sel32,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel32.npy
sel33,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel33.npy
sel34,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel34.npy
sel35,250,224993,2,ECG1;ECG2,q1c,31,data\evaluation\processed\qtdb\signals\sel35.npy
sel36,250,224993,2,ECG1;ECG2,q1c,1,data\evaluation\processed\qtdb\signals\sel36.npy
sel37,250,224993,2,ECG1;ECG2,q1c,24,data\evaluation\processed\qtdb\signals\sel37.npy
sel38,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel38.npy
sel39,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel39.npy
sel40,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel40.npy
sel41,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel41.npy
sel42,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel42.npy
sel43,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel43.npy
sel44,250,224993,2,ECG1;ECG2,q1c,22,data\evaluation\processed\qtdb\signals\sel44.npy
sel45,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel45.npy
sel46,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel46.npy
sel47,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel47.npy
sel48,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel48.npy
sel49,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel49.npy
sel50,250,224993,2,ECG1;ECG2,q1c,31,data\evaluation\processed\qtdb\signals\sel50.npy
sel51,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel51.npy
sel52,250,224993,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel52.npy
sel803,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel803.npy
sel808,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel808.npy
sel811,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel811.npy
sel820,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel820.npy
sel821,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel821.npy
sel840,250,224999,2,ECG1;ECG2,q1c,70,data\evaluation\processed\qtdb\signals\sel840.npy
sel847,250,224999,2,ECG1;ECG2,q1c,33,data\evaluation\processed\qtdb\signals\sel847.npy
sel853,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel853.npy
sel871,250,224999,2,ECG1;ECG2,q1c,70,data\evaluation\processed\qtdb\signals\sel871.npy
sel872,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel872.npy
sel873,250,224999,2,ECG1;ECG2,q1c,33,data\evaluation\processed\qtdb\signals\sel873.npy
sel883,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel883.npy
sel891,250,224999,2,ECG1;ECG2,q1c,71,data\evaluation\processed\qtdb\signals\sel891.npy
sele0104,250,225000,2,D3;D4,q1c,30,data\evaluation\processed\qtdb\signals\sele0104.npy
sele0106,250,225000,2,D3;V3,q1c,30,data\evaluation\processed\qtdb\signals\sele0106.npy
sele0107,250,225000,2,D3;V4,q1c,34,data\evaluation\processed\qtdb\signals\sele0107.npy
sele0110,250,225000,2,V3;D3,q1c,30,data\evaluation\processed\qtdb\signals\sele0110.npy
sele0111,250,225000,2,D3;V4,q1c,30,data\evaluation\processed\qtdb\signals\sele0111.npy
sele0112,250,225000,2,D3;V4,q1c,50,data\evaluation\processed\qtdb\signals\sele0112.npy
sele0114,250,225000,2,D3;V4,q1c,30,data\evaluation\processed\qtdb\signals\sele0114.npy
sele0116,250,225000,2,V4;D3,q1c,30,data\evaluation\processed\qtdb\signals\sele0116.npy
sele0121,250,225000,2,V4;D3,q1c,30,data\evaluation\processed\qtdb\signals\sele0121.npy
sele0122,250,225000,2,V4;D3,q1c,30,data\evaluation\processed\qtdb\signals\sele0122.npy
sele0124,250,225000,2,V4;D3,q1c,50,data\evaluation\processed\qtdb\signals\sele0124.npy
sele0126,250,225000,2,V4;D3,q1c,30,data\evaluation\processed\qtdb\signals\sele0126.npy
sele0129,250,225000,2,D3;V3,q1c,30,data\evaluation\processed\qtdb\signals\sele0129.npy
sele0133,250,225000,2,D3;V3,q1c,30,data\evaluation\processed\qtdb\signals\sele0133.npy
sele0136,250,225000,2,D3;V4,q1c,30,data\evaluation\processed\qtdb\signals\sele0136.npy
sele0166,250,225000,2,V4;D3,q1c,36,data\evaluation\processed\qtdb\signals\sele0166.npy
sele0170,250,225000,2,V4;D3,q1c,30,data\evaluation\processed\qtdb\signals\sele0170.npy
sele0203,250,225000,2,CM5;CC5,q1c,30,data\evaluation\processed\qtdb\signals\sele0203.npy
sele0210,250,225000,2,CM5;CC5,q1c,30,data\evaluation\processed\qtdb\signals\sele0210.npy
sele0211,250,225000,2,CM5;CC5,q1c,30,data\evaluation\processed\qtdb\signals\sele0211.npy
sele0303,250,225000,2,V2-V3;V5,q1c,30,data\evaluation\processed\qtdb\signals\sele0303.npy
sele0405,250,225000,2,CM5;mod.V1,q1c,30,data\evaluation\processed\qtdb\signals\sele0405.npy
sele0406,250,225000,2,CM5;CC5,q1c,31,data\evaluation\processed\qtdb\signals\sele0406.npy
sele0409,250,225000,2,CM5;CC5,q1c,30,data\evaluation\processed\qtdb\signals\sele0409.npy
sele0411,250,225000,2,CM5;CC5,q1c,30,data\evaluation\processed\qtdb\signals\sele0411.npy
sele0509,250,225000,2,V1-V2;V4-V5,q1c,30,data\evaluation\processed\qtdb\signals\sele0509.npy
sele0603,250,225000,2,CM5;CM2,q1c,30,data\evaluation\processed\qtdb\signals\sele0603.npy
sele0604,250,225000,2,CM2;ML5,q1c,30,data\evaluation\processed\qtdb\signals\sele0604.npy
sele0606,250,225000,2,CM5;ML5,q1c,30,data\evaluation\processed\qtdb\signals\sele0606.npy
sele0607,250,225000,2,CM5;CM4,q1c,30,data\evaluation\processed\qtdb\signals\sele0607.npy
sele0609,250,225000,2,CM5;ML5,q1c,30,data\evaluation\processed\qtdb\signals\sele0609.npy
sele0612,250,225000,2,CM5;ML5,q1c,30,data\evaluation\processed\qtdb\signals\sele0612.npy
sele0704,250,225000,2,V5;V1,q1c,30,data\evaluation\processed\qtdb\signals\sele0704.npy
